id,project_id,name,skill_needed,est_hours,assignee,start,due,status
T0026,P002,Scanner workflow checks for new locations + exception handling,Shipping exceptions,16,E025,2025-09-10T10:57:00,2025-09-14T13:00:00,completed
T0027,P002,Train leads + floor staff on new pick paths and replenishment triggers,Training enablement,8,E021,2025-09-13T17:26:00,2025-09-15T10:45:00,completed
T0028,P002,Scale re-slotting across remaining zones,Pick/pack optimization,5,E011,2025-09-16T09:00:00,2025-09-17T14:45:00,completed
T0029,P002,Peak readiness dry run + escalation playbook,Escalation handling,7,E019,2025-09-17T15:24:00,2025-09-18T15:00:00,completed
T0030,P002,Post-peak retro + codify improvements for next season,Documentation,16,E025,2025-09-20T18:00:00,2025-09-23T13:45:00,completed
T0031,P003,Campaign kickoff + creative brief + channel plan,Creative briefing,12,E001,2025-09-02T09:00:00,2025-09-04T15:30:00,completed
T0032,P003,Define target audience segments + offers + positioning,Consumer insights,9,E006,2025-09-04T18:00:00,2025-09-06T12:45:00,completed
T0033,P003,Influencer shortlist + outreach + negotiation,Influencer strategy,13,E032,2025-09-06T09:00:00,2025-09-09T14:15:00,completed
T0034,P003,Draft influencer contracts + deliverable terms,Contracting,11,E032,2025-09-10T18:00:00,2025-09-13T15:30:00,completed
T0035,P003,Build content calendar + launch timeline across channels,Content calendar,13,E002,2025-09-14T18:00:00,2025-09-17T10:45:00,completed
T0036,P003,"Develop paid social test matrix (hooks, formats, landing pages)",Creative testing,14,E004,2025-09-14T10:33:00,2025-09-17T15:00:00,completed
T0037,P003,Design key visual system (static + video templates),Graphic design,13,E009,2025-09-15T09:00:00,2025-09-17T15:30:00,completed
T0038,P003,Write copy variants + brand voice checks,Copywriting,8,E003,2025-09-20T12:00:00,2025-09-22T11:15:00,completed
T0039,P003,"Set up tracking (UTMs, pixels) + measurement plan",UTM governance,7,E004,2025-09-21T18:00:00,2025-09-23T11:45:00,completed
T0040,P003,Analytics spec: events + naming conventions for holiday funnel,Event tracking specs,7,E011,2025-09-22T14:26:00,2025-09-23T14:00:00,completed
T0041,P003,Launch creator content production + asset QA,Creative QA,6,E024,2025-09-26T12:18:00,2025-09-27T16:30:00,completed
T0042,P003,Configure ad sets + budget pacing rules + guardrails,Budget pacing,16,E004,2025-09-28T09:00:00,2025-09-30T14:00:00,completed
T0043,P003,Daily performance readouts + creative iteration loop,GA4 reporting,8,E015,2025-10-02T14:56:00,2025-10-04T12:15:00,completed
T0044,P003,"Cross-functional standup (CX, Ops) for peak comms + inventory risks",Stakeholder management,10,E017,2025-10-08T14:28:00,2025-10-10T12:00:00,completed
T0045,P003,"Post-campaign wrap: results, learnings, and next-holiday playbook",Documentation,9,E025,2025-10-09T09:00:00,2025-10-10T16:00:00,completed
T0046,P004,Kickoff + define chargeback KPIs and decision thresholds,KPI definition,16,E005,2025-10-08T18:00:00,2025-10-12T13:00:00,completed
T0047,P004,Pull baseline fraud signals + chargeback reasons by segment,Cohort analysis,15,E031,2025-10-17T18:00:00,2025-10-21T14:30:00,completed
T0048,P004,Audit current fraud rules + manual review SOP,Process documentation,15,E027,2025-10-25T10:14:00,2025-10-27T14:00:00,completed
T0049,P004,Identify false positive drivers impacting conversion,Analytics interpretation,10,E003,2025-10-27T09:00:00,2025-10-28T15:45:00,completed
T0050,P004,Design new fraud ruleset + risk tiers,Risk assessment,7,E033,2025-10-28T09:00:00,2025-10-29T16:00:00,completed
T0051,P004,Implement rule updates in fraud tooling / checkout logic,Feature flags,8,E032,2025-11-07T09:00:00,2025-11-08T15:15:00,completed
T0052,P004,Add monitoring dashboard for fraud + CB alerts,Looker dashboards,11,E020,2025-11-06T18:00:00,2025-11-08T16:30:00,completed
T0053,P004,Instrument events for fraud decisions (approve/deny/manual review),Event tracking specs,9,E033,2025-11-07T09:00:00,2025-11-09T10:30:00,completed
T0054,P004,Create CX guidance for fraud holds + escalation paths,Escalations,16,E027,2025-11-06T18:00:00,2025-11-09T10:30:00,completed
T0055,P004,"Legal/compliance review (privacy, data handling, adverse actions)",Privacy (GDPR/CCPA) basics,5,E033,2025-11-08T11:40:00,2025-11-09T15:30:00,completed
T0056,P004,Run shadow test (new rules) against historical orders,Experimentation analysis,2,E020,2025-11-09T09:00:00,2025-11-10T15:00:00,completed
T0057,P004,Roll out new rules with staged exposure + rollback plan,Incident response,12,E011,2025-11-09T15:21:00,2025-11-11T13:00:00,completed
T0058,P004,Train CX + Ops on updated playbooks and documentation,Training enablement,9,E011,2025-11-10T09:00:00,2025-11-12T12:45:00,completed
T0059,P004,Weekly review cadence for tuning + exception cases,Stakeholder enablement,15,E003,2025-11-10T09:00:00,2025-11-13T16:15:00,completed
T0060,P004,Postmortem + finalize ongoing governance + templates,Template governance,8,E004,2025-11-13T15:15:00,2025-11-15T12:00:00,completed
T0061,P005,Sprint kickoff + define performance and conversion targets,KPI definition,15,E003,2025-12-06T09:00:00,2025-12-09T13:00:00,in_progress
T0062,P005,Baseline checkout metrics + error rates + device breakdown,GA4,19,E019,2025-12-06T17:36:00,2025-12-09T13:45:00,in_progress
T0063,P005,Create event tracking spec for checkout funnel (step-level),Event tracking specs,16,E025,2025-12-05T18:00:00,2025-12-09T15:00:00,in_progress
T0064,P005,Audit client-side performance + bundle size hot spots,Performance optimization,13,E021,2025-12-08T13:23:00,2025-12-10T14:00:00,in_progress
T0065,P005,"Implement frontend optimizations (lazy load, code split, caching)",React,38,E014,2025-12-03T13:00:00,2025-12-12T12:30:00,in_progress
T0066,P005,Backend profiling for checkout APIs + latency sources,Observability (logs/metrics),15,E013,2025-12-09T14:07:00,2025-12-12T12:45:00,in_progress
T0067,P005,Optimize API performance + add timeouts/retries where needed,REST APIs,26,E015,2025-12-10T09:00:00,2025-12-14T14:45:00,in_progress
T0068,P005,Add feature flags for risky changes + staged rollout,Feature flags,14,E021,2025-12-12T09:00:00,2025-12-15T12:15:00,in_progress
T0069,P005,"Design UX improvements (payment options, error messaging)",Interaction design,11,E011,2025-12-13T11:22:00,2025-12-15T15:15:00,in_progress
T0070,P005,Usability test new checkout UX with 5–8 users,Usability testing,7,E010,2025-12-15T13:49:00,2025-12-16T16:15:00,completed
T0071,P005,Set up experiment plan (A/B) for top UX hypotheses,Experimentation,10,E020,2025-12-15T09:00:00,2025-12-17T15:00:00,completed
T0072,P005,QA automation for regression coverage (happy path + edge cases),QA automation,10,E016,2025-12-17T18:00:00,2025-12-19T12:30:00,completed
T0073,P005,Launch changes + monitor incidents + conversions,Incident triage,14,E003,2025-12-19T09:00:00,2025-12-21T16:15:00,completed
T0074,P005,"Daily war-room + cross-team comms (CX, Finance, Ops)",Stakeholder alignment,9,E008,2025-12-25T16:30:00,2025-12-27T10:30:00,blocked
T0075,P005,Post-sprint report + next backlog and follow-up PRDs,Postmortems,4,E006,2026-01-01T14:57:00,2026-01-02T12:15:00,blocked
T0076,P006,Kickoff + define accuracy KPIs and governance cadence,KPI tracking,16,E020,2026-01-25T09:00:00,2026-01-27T14:00:00,in_progress
T0077,P006,Select scanner hardware + vendor coordination,Vendor management,12,E021,2026-01-26T09:00:00,2026-01-28T15:45:00,in_progress
T0078,P006,Define cycle-count SOPs by zone + cadence,Cycle counts,8,E024,2026-01-29T09:00:00,2026-01-30T16:15:00,in_progress
T0079,P006,Build training materials + quick-reference guides,Training enablement,13,E021,2026-01-28T18:00:00,2026-01-31T12:00:00,in_progress
T0080,P006,Configure scanner workflows + exception codes,Scanner rollout,7,E025,2026-02-05T09:00:00,2026-02-06T15:00:00,in_progress
T0081,P006,Update WMS processes for adjustments + approvals,WMS basics,9,E025,2026-02-06T09:00:00,2026-02-07T14:15:00,in_progress
T0082,P006,"Data capture spec (scan events, adjustments, reasons)",Event tracking specs,16,E016,2026-02-04T13:24:00,2026-02-08T13:15:00,in_progress
T0083,P006,Run pilot in 1 site/zone + measure discrepancy reduction,Process improvement,8,E025,2026-02-06T14:57:00,2026-02-08T15:00:00,in_progress
T0084,P006,Root-cause analysis on top discrepancy categories,Root cause analysis,10,E007,2026-02-07T09:00:00,2026-02-09T13:45:00,in_progress
T0085,P006,Integrate inventory adjustments into reporting dashboards,Dashboards,13,E018,2026-02-08T09:00:00,2026-02-11T10:00:00,completed
T0086,P006,CX + Merch comms process for oversells/backorders,Cross-team feedback loops,13,E010,2026-02-09T18:00:00,2026-02-11T14:45:00,completed
T0087,P006,Scale scanner rollout across sites + staffing plan,Labor planning,12,E024,2026-02-09T10:12:00,2026-02-11T16:30:00,completed
T0088,P006,Implement escalation path for repeated discrepancies,Escalation handling,6,E026,2026-02-15T09:00:00,2026-02-16T13:00:00,completed
T0089,P006,Finance review for shrink and accounting implications,Inventory accounting basics,9,E023,2026-02-17T09:00:00,2026-02-18T16:30:00,blocked
T0090,P006,Program retro + finalize playbook + continuous improvement loop,Documentation,12,E025,2026-02-16T14:58:00,2026-02-19T16:45:00,blocked
T0091,P007,"Kickoff + define success metrics (CTR, CVR, unsub, revenue)",KPI definition,5,E012,2026-02-14T09:00:00,2026-02-15T10:15:00,in_progress
T0092,P007,"Audit current lifecycle journeys + gaps (welcome, abandon, post-purchase)",Journey mapping,15,E009,2026-02-17T09:00:00,2026-02-19T12:00:00,in_progress
T0093,P007,Define segmentation strategy + data requirements,Requirements gathering,15,E008,2026-02-16T09:00:00,2026-02-19T13:45:00,in_progress
T0094,P007,Pull customer cohorts + baseline engagement by segment,Cohort analysis,16,E020,2026-02-20T18:00:00,2026-02-24T13:30:00,in_progress
T0095,P007,Draft experiment plan for personalization hypotheses,Experiment design,16,E006,2026-02-22T09:00:00,2026-02-25T13:00:00,in_progress
T0096,P007,Create email template system + modular blocks,Email design,14,E008,2026-02-24T09:00:00,2026-02-27T11:15:00,in_progress
T0097,P007,Write copy variants per segment + brand voice guardrails,Brand voice,5,E002,2026-02-26T16:21:00,2026-02-27T16:45:00,in_progress
T0098,P007,Define event tracking + attribution for lifecycle conversions,Attribution basics,14,E004,2026-02-25T09:00:00,2026-02-28T12:00:00,in_progress
T0099,P007,Implement segmentation queries/views in warehouse,SQL,4,E019,2026-03-03T09:00:00,2026-03-04T11:30:00,in_progress
T0100,P007,Build activation pipeline to ESP (audiences + triggers),Data integrations,29,E015,2026-02-28T18:00:00,2026-03-07T16:15:00,completed
T0101,P007,Set up dashboards for lifecycle performance monitoring,Looker dashboards,11,E020,2026-03-06T09:00:00,2026-03-08T12:45:00,completed
T0102,P007,"QA journeys end-to-end (rendering, links, suppression, edge cases)",Creative QA,11,E028,2026-03-07T09:00:00,2026-03-09T13:15:00,completed
T0103,P007,"Legal/compliance review (opt-in, privacy, claims)",Advertising compliance,6,E032,2026-03-08T11:14:00,2026-03-09T15:30:00,completed
T0104,P007,Launch MVP + weekly optimization cadence,Stakeholder enablement,12,E023,2026-03-07T13:37:00,2026-03-10T13:15:00,blocked
T0105,P007,Post-launch report + backlog for Phase 2 improvements,Roadmapping,13,E009,2026-03-09T12:35:00,2026-03-12T11:45:00,blocked
T0106,P008,"Kickoff + define PDP goals (engagement, conversion, returns)",KPI definition,6,E003,2026-03-16T09:00:00,2026-03-17T11:15:00,in_progress
T0107,P008,Audit current PDP components + creative inconsistencies,Heuristic evaluation,11,E033,2026-03-18T16:44:00,2026-03-20T15:15:00,in_progress
T0108,P008,Define new PDP image guidelines + shot list standards,Brand guidelines,15,E020,2026-03-16T18:00:00,2026-03-20T16:30:00,in_progress
T0109,P008,UGC sourcing plan + rights management approach,UGC curation,12,E024,2026-03-20T11:36:00,2026-03-22T12:00:00,in_progress
T0110,P008,"Design updated PDP modules (UGC carousel, image zoom, gallery)",Design systems,14,E003,2026-03-22T09:00:00,2026-03-25T11:15:00,in_progress
T0111,P008,Prototype in Figma + align on component behaviors,Prototyping,11,E017,2026-03-23T17:13:00,2026-03-25T14:30:00,in_progress
T0112,P008,Engineering handoff + implementation specs,Handoff to engineering,12,E032,2026-03-28T14:06:00,2026-03-31T12:30:00,in_progress
T0113,P008,Implement new PDP modules in theme/components,Shopify Liquid,12,E016,2026-03-29T13:11:00,2026-03-31T15:30:00,in_progress
T0114,P008,Set up asset versioning + naming conventions for images,Asset versioning,16,E008,2026-03-30T09:00:00,2026-04-02T10:00:00,in_progress
T0115,P008,Creative production coordination for refreshed imagery,Production coordination,14,E009,2026-04-02T09:00:00,2026-04-04T16:30:00,completed
T0116,P008,QA across devices + accessibility checks,Accessibility basics,12,E011,2026-04-03T18:00:00,2026-04-06T11:00:00,completed
T0117,P008,Set up experiment to measure uplift vs control,Experimentation,3,E020,2026-04-06T13:39:00,2026-04-07T11:30:00,completed
T0118,P008,Launch wave 1 on top SKUs + monitor performance,Dashboards,19,E006,2026-04-04T09:00:00,2026-04-08T10:45:00,completed
T0119,P008,Expand rollout + update internal playbook,Documentation,10,E025,2026-04-07T09:34:00,2026-04-09T12:45:00,blocked
T0120,P008,Post-launch retro + finalize governance for ongoing refreshes,Template governance,14,E012,2026-04-07T09:00:00,2026-04-10T13:45:00,blocked
T0121,P009,Kickoff + scope Phase 1 deliverables + risks,Roadmapping,8,,,2026-06-19T13:30:00,not_started
T0122,P009,Audit current theme + tech debt + performance issues,Performance optimization,6,,,2026-06-19T14:15:00,not_started
T0123,P009,Define new theme architecture + component library plan,Component libraries,11,,,2026-06-20T11:00:00,not_started
T0124,P009,Catalog data model review + required schema changes,Data modeling,5,,,2026-06-22T13:15:00,not_started
T0125,P009,Integration mapping (ERP/WMS/3PL) + data flow diagrams,Data integrations,27,,,2026-06-27T10:30:00,not_started
T0126,P009,Set up CI/CD + preview environments,CI/CD,18,,,2026-06-28T10:30:00,not_started
T0127,P009,Implement foundational theme scaffolding + routing,JavaScript/TypeScript,31,,,2026-07-01T12:00:00,not_started
T0128,P009,Build core PDP/PLP components with reusable patterns,React,24,,,2026-07-03T15:45:00,not_started
T0129,P009,Migrate catalog structure + collections/tags strategy,Category strategy,6,,,2026-07-05T13:30:00,not_started
T0130,P009,Implement observability + logging for key storefront events,Observability (logs/metrics),14,,,2026-07-05T16:15:00,not_started
T0131,P009,"QA automation baseline (smoke tests, critical paths)",QA automation,11,,,2026-07-06T11:30:00,not_started
T0132,P009,Performance budget + load testing plan,Performance optimization,5,,,2026-07-07T12:30:00,not_started
T0133,P009,Security/privacy review for integrations and data handling,Privacy (GDPR/CCPA) basics,6,,,2026-07-07T15:00:00,not_started
T0134,P009,Pilot launch on a limited traffic slice + rollback plan,Incident response,12,,,2026-07-08T10:45:00,not_started
T0135,P009,Postmortem + finalize Phase 2 backlog + documentation,Documentation,16,,,2026-07-08T12:00:00,not_started
T0136,P010,"Kickoff + define target countries, timelines, and KPIs",KPI definition,11,,,2026-09-25T13:15:00,not_started
T0137,P010,Carrier evaluation + negotiations + onboarding requirements,Vendor negotiations,10,,,2026-09-28T12:30:00,not_started
T0138,P010,Define duties/taxes approach + customer messaging,Product storytelling,14,,,2026-10-01T15:45:00,not_started
T0139,P010,"Legal/compliance review (cross-border policies, privacy, claims)",Compliance,13,,,2026-10-03T13:00:00,not_started
T0140,P010,Finance review for tax/VAT implications + reporting needs,Tax,17,,,2026-10-04T10:30:00,not_started
T0141,P010,Update checkout UX for intl shipping options + pricing transparency,UX writing,7,,,2026-10-06T10:45:00,not_started
T0142,P010,Engineering: integrate carriers + rate shopping + labels,REST APIs,16,,,2026-10-08T12:00:00,not_started
T0143,P010,Implement duties/taxes calculation workflow,Data integrations,13,,,2026-10-08T16:00:00,not_started
T0144,P010,Update warehouse ops SOPs for intl packing + documentation,SOP documentation,7,,,2026-10-09T13:45:00,not_started
T0145,P010,"CX workflows for intl tracking, delays, returns, and exceptions",Order troubleshooting,4,,,2026-10-10T10:00:00,not_started
T0146,P010,Update help center + macros for intl FAQs,Knowledge base,15,,,2026-10-10T15:00:00,not_started
T0147,P010,Event tracking spec for intl checkout and delivery funnel,Event tracking specs,13,,,2026-10-11T15:00:00,not_started
T0148,P010,Pilot launch to 1–2 countries + monitor incidents,Incident triage,7,,,2026-10-13T12:15:00,not_started
T0149,P010,Expand rollout + partner performance reporting,Reporting,11,,,2026-10-13T12:15:00,not_started
T0150,P010,Post-launch retro + finalize escalation paths + governance,Escalation process,10,,,2026-10-14T14:00:00,not_started
